date (UTC),description,moneyIn (Satoshi),moneyOut (Satoshi),tx hash,current balance (Satoshi)
2022-11-17T05:23:37Z,PAYMENT RECEIVED,644718511,0,7b748e59d0e64ab0e23aac751f4aed9fea41d48b789684d27de1965ed26835a0,19482629337
2022-11-17T05:03:57Z,PAYMENT RECEIVED,638777612,0,badc937eff4992cfec198fe5de75e5b3300781c492dd6b203f934cc39ae33393,18837910826
2022-11-17T04:57:25Z,PAYMENT RECEIVED,641300335,0,7cc8ea6c54eb5fb845bb5e0c00b2a9b9b3652ee755686db80fd7219a596b7913,18199133214
2022-11-17T03:57:43Z,PAYMENT RECEIVED,660354545,0,afe6a4f3a0d89551eacbf72723dd1e45762ec1aef658641dd56b963a9ab0e873,17557832879
2022-11-17T02:37:18Z,PAYMENT RECEIVED,642984564,0,d23cd8217034e9588b0a8afd2341a8cfab09aac57c95592070eab9d2a2c4ab67,16897478334
2022-11-17T02:14:05Z,PAYMENT SENT,0,-9701980808,ed3cf419063c8a9f15aa6b1626b5b94b1cac7111db28efc9d8a8f9e9fea2da2c,16254493770
2022-11-17T01:43:57Z,PAYMENT RECEIVED,640461759,0,7cf0b9053a74c77e0bd671db11ec56471c411bdd1e516b7779e4731ec4ff85e1,25956474578
2022-11-17T01:37:26Z,PAYMENT RECEIVED,652069479,0,401391a7939a669d7bfc6c0379796e910c705ddd1fdb94b42d22eeeaf9a8bcb1,25316012819
2022-11-17T00:47:46Z,PAYMENT RECEIVED,651161430,0,a1b59dd9b16c8f74375330727cf852462cc0e1cc2498d23ab440f016a2e2bb98,24663943340
2022-11-17T00:05:33Z,PAYMENT RECEIVED,651026466,0,90d7426b313983f3eacab7f56c27811bac5ec3b3bd3ffe5db63e33c5050de42a,24012781910
2022-11-16T23:41:07Z,PAYMENT RECEIVED,642512323,0,fe4d0635bcbdeffa6378dc37637f49f4de370bf304d2712c497d4d48648ab1c0,23361755444
2022-11-16T23:37:45Z,PAYMENT RECEIVED,644235412,0,1833a15f2a69d0ef0925302b4f9968ada845e2024df984e4aa747d7aca180d23,22719243121
2022-11-16T23:24:21Z,PAYMENT RECEIVED,649671202,0,33182ec4aeedc4af98a0bcee7a620baf923434ad3bfed82f88c8bddb82de8a0f,22075007709
2022-11-16T23:13:33Z,PAYMENT RECEIVED,644615666,0,f91bc91a116db097708b59067349377c2cd63cf0c9e1c5198ea9489f944328e4,21425336507
2022-11-16T22:52:05Z,PAYMENT RECEIVED,667784628,0,8711ed4f6bab0c26fc1745745b4a12f4b305e7901afa11421a9ec2120a3db280,20780720841
2022-11-16T22:18:29Z,PAYMENT RECEIVED,662244001,0,a349ce9af601fef9168c71f25cab47bf8859ecf6ae9142bc8b7b1b909e531b18,20112936213
2022-11-16T21:56:09Z,PAYMENT RECEIVED,656289997,0,b1fbda0e45d8e60a38986aa64bf0fee2588c8bc00658b65f5bd2fd3e48e03f99,19450692212
2022-11-16T21:13:03Z,PAYMENT RECEIVED,659624643,0,8f9c5b62c7854534a3f3e3c3dc8331ffc6f4a6ec55248e0ef65a11d870db936c,18794402215
2022-11-16T19:45:24Z,PAYMENT RECEIVED,642900630,0,d28e267f656d9cc7c53776dfc187e25efaed870639451a9d88f9d336230aae05,18134777572
2022-11-16T19:42:14Z,PAYMENT SENT,0,-3958441629,2cff2cf58bc445d04be827ce3d76f6ae98761276671c82994e7688b2554815f1,17491876942
2022-11-16T19:29:38Z,PAYMENT RECEIVED,643976192,0,b017f8b0575e7b134fccd7229d538b8b316035504d0923b9b93b6dc81b7ba856,21450318571
2022-11-16T18:22:08Z,PAYMENT RECEIVED,650713273,0,abfd66c064acbc4ab67301767638dceaead876aca0fd41a7c89206995b98402d,20806342379
2022-11-16T16:41:54Z,PAYMENT RECEIVED,659582737,0,d99562cd6905a049ea2e0151c6dacb4c2bf86e99693824978ef6a513c0eb495b,20155629106
2022-11-16T15:47:29Z,PAYMENT RECEIVED,650472222,0,745675d411d3033215921935382d8b64655b8b802aef097598a403602b4a315b,19496046369
2022-11-16T15:38:50Z,PAYMENT RECEIVED,641265052,0,9b1061bfe43618baef1a46dcd05bda853ec413fd48f09a892ebcc173d5e20a8f,18845574147
2022-11-16T15:28:15Z,PAYMENT RECEIVED,648897036,0,5802ff5870cb0eb88eadb4f937922f36eed5360ca4e933518e78600cd0b55fd4,18204309095
2022-11-16T13:39:09Z,PAYMENT RECEIVED,658635656,0,10f7b46a10c1a76773c6653620000f26f331daec60e2023ec1945b19c699bf0e,17555412059
2022-11-16T13:08:57Z,PAYMENT RECEIVED,644539940,0,c556ec046d30a3175c71a19b5723bc467933558f5d1c55727bbe26d74ea8de5f,16896776403
2022-11-16T11:44:35Z,PAYMENT RECEIVED,642390733,0,015d13218863980878a4fd1953aa2ad277667006d9778402cb1b177e3f9844ac,16252236463
2022-11-16T11:42:20Z,PAYMENT RECEIVED,660162532,0,85adccf0808780e5b062f901189cac7392c04cc4800958e6945788ef7617acd7,15609845730
